"Rrm2"
"Dscc1"
"Prim1"
"Gmnn"
"Ccne2"
"E2f8"
"Exo1"
"Rad51ap1"
"Wdr76"
"Usp1"
"Nasp"
"Casp8ap2"
"Rad51"
"Msh2"
"Pcna"
"Fen1"
"Rrm1"
"Cdc6"
"Clspn"
"Pola1"
"Tyms"
"Slbp"
"Cenpu"
"Mcm5"
"Tipin"
"Mcm4"
"Mcm6"
"Rfc2"
"Ung"
"Chaf1b"
"Cdc45"
"Hells"
"Mrpl36"
"Polr1b"
"Blm"
"Cdca7"
"Dtl"
"Uhrf1"
"Ubr7"
"Mcm7"
"Gins2"
