"Nek2"
"Cdca8"
"Smc4"
"Lbr"
"Anp32e"
"Hmmr"
"Aurkb"
"Cdc20"
"Kif11"
"Rangap1"
"Cdk1"
"Gtse1"
"Tpx2"
"Ndc80"
"Ckap2"
"Mki67"
"Ect2"
"G2e3"
"Cenpe"
"Ncapd2"
"Pimreg"
"Cdc25c"
"Cenpf"
"Tubb4b"
"Cenpa"
"Bub1"
"Psrc1"
"Nuf2"
"Top2a"
"Gas2l3"
"Nusap1"
"Tacc3"
"Cbx5"
"Aurka"
"Cdca3"
"Kif2c"
"Birc5"
"Hmgb2"
"Kif20b"
"Ttk"
"Tmpo"
"Ube2c"
"Cks2"
"Dlgap5"
"Ckap2l"
"Anln"
"Ckap5"
"Hjurp"
"Ccnb2"
"Cks1b"
"Cdca2"
"Kif23"
"Ctcf"
